amount,average_transaction_amount,amount_ratio,transaction_hour,transaction_day,location_match,location_changed,new_device,trusted_ip,vpn_used,failed_login_count,password_reset,otp_verified,session_duration_minutes,ip_reputation_score,new_receiver,receiver_trust_score,receiver_risk_score,merchant_category,payment_method,high_risk_merchant,night_transaction,impossible_travel,time_gap_minutes,previous_transactions_last_1_hour,previous_transactions_last_24_hours,high_value_transaction,persona,home_city,login_city,transaction_city,is_fraud
570.15,445.55,1.28,13,6,1,0,0,1,0,2,0,1,14,88,0,82,0,Food,Credit Card,0,0,0,5.0,0,0,0,Student,Chandigarh,Chandigarh,Chandigarh,0
303.12,445.55,0.68,16,6,1,0,0,1,0,0,0,1,10,92,0,82,0,Travel,Credit Card,0,0,0,2.0,0,1,0,Student,Chandigarh,Chandigarh,Chandigarh,0
306.25,445.55,0.687,19,6,1,0,0,1,0,0,0,1,14,93,1,98,23,Retail,Credit Card,0,0,0,2.0,0,2,0,Student,Chandigarh,Chandigarh,Chandigarh,0
294.85,445.55,0.662,0,0,1,0,0,1,0,0,0,1,21,97,0,82,0,Groceries,Credit Card,0,1,0,12.0,0,3,0,Student,Chandigarh,Chandigarh,Chandigarh,0
272.69,445.55,0.612,18,0,1,0,0,1,0,0,0,1,18,99,0,82,0,E-commerce,Credit Card,0,0,0,5.0,0,2,0,Student,Chandigarh,Chandigarh,Chandigarh,0
430.69,445.55,0.967,0,1,1,0,0,1,0,0,0,1,20,100,0,84,30,Groceries,Credit Card,0,1,0,2.0,0,2,0,Student,Chandigarh,Chandigarh,Chandigarh,0
527.24,445.55,1.183,5,1,1,0,0,1,0,0,0,1,27,96,1,91,19,Travel,Credit Card,0,0,0,15.0,0,2,0,Student,Chandigarh,Chandigarh,Chandigarh,0
229.45,445.55,0.515,6,1,1,0,0,1,0,0,0,1,31,89,0,84,30,E-commerce,Credit Card,0,0,0,11.0,1,3,0,Student,Chandigarh,Chandigarh,Chandigarh,0
268.46,445.55,0.603,9,1,1,0,0,1,0,0,0,1,30,92,1,82,18,Groceries,Credit Card,0,0,0,15.0,0,4,0,Student,Chandigarh,Chandigarh,Chandigarh,0
160.8,445.55,0.361,10,1,1,0,0,1,0,0,0,1,9,87,1,87,2,Retail,Credit Card,0,0,0,3.0,0,5,0,Student,Chandigarh,Chandigarh,Chandigarh,0
461.51,445.55,1.036,16,1,1,0,1,0,1,5,0,0,13,17,1,84,30,E-commerce,UPI,0,0,0,1.0,0,6,0,Student,Chandigarh,Chandigarh,Chandigarh,1
594.99,445.55,1.335,19,1,1,0,0,1,0,0,0,1,4,92,0,84,30,Food,Credit Card,0,0,0,2.0,0,6,0,Student,Chandigarh,Chandigarh,Chandigarh,0
320.84,445.55,0.72,11,2,1,0,0,1,0,0,0,1,12,100,0,82,0,E-commerce,Credit Card,0,0,0,10.0,0,2,0,Student,Chandigarh,Chandigarh,Chandigarh,0
591.25,445.55,1.327,0,3,1,0,0,1,0,0,0,1,8,90,1,81,8,Retail,Credit Card,0,1,0,5.0,0,1,0,Student,Chandigarh,Chandigarh,Chandigarh,0
658.28,912.61,0.721,7,2,1,0,0,1,0,0,0,1,19,89,1,74,8,E-commerce,NEFT,0,0,0,3.0,0,0,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
1996.29,912.61,2.187,16,2,1,0,1,1,0,0,0,1,20,90,1,96,16,E-commerce,Net Banking,0,0,0,10.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,1
704.44,912.61,0.772,16,2,1,0,0,1,0,0,0,1,27,100,0,74,8,Groceries,NEFT,0,0,0,11.0,1,2,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
390.98,912.61,0.428,4,3,0,1,0,1,0,0,0,1,27,93,0,74,8,Retail,NEFT,0,1,0,8.0,0,3,0,Senior Citizen,Hyderabad,Hyderabad,Ahmedabad,0
575.18,912.61,0.63,20,3,1,0,0,1,0,0,0,1,14,90,1,74,21,Food,NEFT,0,0,0,8.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
1316.98,912.61,1.443,16,4,1,0,0,1,1,0,0,1,7,77,0,74,8,Retail,NEFT,0,0,0,1.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
782.83,912.61,0.858,14,5,1,0,0,1,0,0,0,1,10,93,0,96,16,E-commerce,NEFT,0,0,0,2.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
701.57,912.61,0.769,6,6,1,0,0,1,0,0,0,1,15,99,0,74,8,Food,NEFT,0,0,0,5.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
1134.89,912.61,1.244,17,6,1,0,0,1,0,0,0,1,17,89,1,94,29,Groceries,NEFT,0,0,0,6.0,0,1,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
407.5,912.61,0.447,21,6,1,1,0,0,0,0,0,1,16,85,0,81,8,Travel,NEFT,0,0,0,13.0,0,2,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
372.67,912.61,0.408,22,6,1,1,0,0,0,0,0,1,20,90,0,94,29,Food,NEFT,0,0,0,8.0,1,3,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
2948.27,912.61,3.231,8,0,1,0,0,1,0,0,0,1,10,97,0,74,21,Groceries,NEFT,0,0,0,6.0,0,3,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
3252.02,912.61,3.563,12,0,0,1,0,1,0,0,0,1,13,94,1,81,8,Groceries,NEFT,0,0,0,3.0,0,4,0,Senior Citizen,Hyderabad,Hyderabad,Kolkata,0
1343.09,912.61,1.472,7,1,1,1,0,0,0,0,0,1,30,86,0,96,16,Groceries,NEFT,0,0,0,13.0,0,2,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
428.97,912.61,0.47,7,1,1,0,0,1,0,0,0,1,19,89,0,94,29,Retail,NEFT,0,0,0,1.0,1,3,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
1326.11,912.61,1.453,13,1,1,1,0,0,0,0,0,1,31,91,0,81,8,Food,NEFT,0,0,0,13.0,0,2,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
1271.08,912.61,1.393,18,1,1,0,0,1,0,1,0,1,11,91,0,96,16,Food,NEFT,0,0,0,10.0,0,3,0,Senior Citizen,Hyderabad,Hyderabad,Hyderabad,0
1200.52,912.61,1.315,21,1,1,1,0,0,0,0,0,1,29,94,0,80,25,E-commerce,NEFT,0,0,0,13.0,0,4,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
1310.65,912.61,1.436,4,2,1,1,0,0,0,0,0,1,7,94,0,94,29,Retail,NEFT,0,1,1,4.0,0,5,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
1138.69,912.61,1.248,7,2,1,1,0,0,0,0,0,0,15,99,1,87,4,Travel,NEFT,0,0,0,6.0,0,4,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
1052.54,912.61,1.153,9,2,0,1,0,0,0,0,0,1,14,95,1,80,25,Gaming,NEFT,1,0,0,10.0,0,5,0,Senior Citizen,Hyderabad,Mumbai,Lucknow,0
457.38,912.61,0.501,6,3,1,1,0,0,0,0,0,1,7,92,1,91,15,Travel,NEFT,0,0,0,3.0,0,2,0,Senior Citizen,Hyderabad,Mumbai,Mumbai,0
4136.4,2991.58,1.383,20,6,1,0,0,1,0,0,0,1,24,87,0,100,8,E-commerce,Net Banking,0,0,0,13.0,0,0,0,Senior Citizen,Indore,Indore,Indore,0
1061.81,2991.58,0.355,15,0,1,0,0,1,0,0,0,1,28,93,0,84,1,Groceries,Net Banking,0,0,0,15.0,0,1,0,Senior Citizen,Indore,Indore,Indore,0
3756.21,2991.58,1.256,8,2,1,0,0,1,0,0,0,1,17,94,1,84,1,Groceries,Net Banking,0,0,0,14.0,0,0,0,Senior Citizen,Indore,Indore,Indore,0
1140.01,2991.58,0.381,11,2,1,0,0,1,0,0,0,1,20,89,0,84,1,Travel,Net Banking,0,0,0,14.0,0,1,0,Senior Citizen,Indore,Indore,Indore,0
1120.08,2991.58,0.374,20,3,0,1,0,1,0,0,0,1,29,97,1,100,8,Electronics,Net Banking,0,0,0,9.0,0,0,0,Senior Citizen,Indore,Indore,Pune,0
11522.98,2991.58,3.852,5,4,0,1,0,1,0,1,0,1,8,95,0,84,1,Food,Net Banking,0,0,0,6.0,0,1,0,Senior Citizen,Indore,Indore,Chandigarh,0
4009.74,2991.58,1.34,22,4,1,0,0,1,0,0,0,1,14,94,0,100,8,Retail,Net Banking,0,0,0,4.0,0,1,0,Senior Citizen,Indore,Indore,Indore,0
2905.49,2991.58,0.971,12,5,0,1,0,1,0,0,0,1,33,100,0,84,1,Groceries,Net Banking,0,0,0,15.0,0,1,0,Senior Citizen,Indore,Indore,Chandigarh,0
2814.8,2991.58,0.941,15,5,1,0,0,1,0,0,0,1,20,95,1,87,8,Food,Net Banking,0,0,0,11.0,0,2,0,Senior Citizen,Indore,Indore,Indore,0
1950.93,2991.58,0.652,23,6,1,1,0,0,0,2,0,1,19,89,0,87,8,Food,Net Banking,0,0,0,2.0,0,0,0,Senior Citizen,Indore,Delhi,Delhi,0
3701.2,2991.58,1.237,12,0,1,0,0,1,0,0,0,1,14,98,0,84,1,Electronics,Net Banking,0,0,0,11.0,0,1,0,Senior Citizen,Indore,Indore,Indore,0
1526.54,2991.58,0.51,13,0,1,1,0,0,0,0,0,1,32,92,0,100,8,Groceries,Net Banking,0,0,1,15.0,1,2,0,Senior Citizen,Indore,Delhi,Delhi,0
40304.94,2991.58,13.473,20,0,1,1,0,0,1,0,0,1,19,92,1,24,78,Crypto,NEFT,1,0,0,12.0,0,3,1,Senior Citizen,Indore,Delhi,Delhi,1
3176.39,2991.58,1.062,12,1,1,1,0,0,0,2,0,1,14,91,1,87,17,Food,Net Banking,0,0,0,7.0,0,3,0,Senior Citizen,Indore,Delhi,Delhi,0
3607.77,2991.58,1.206,12,1,1,1,0,0,1,0,0,1,31,58,0,87,8,Food,Net Banking,0,0,0,11.0,1,4,0,Senior Citizen,Indore,Delhi,Delhi,0
2286.35,2991.58,0.764,3,2,0,1,0,0,0,0,0,1,25,93,1,72,8,Travel,Net Banking,0,1,0,11.0,0,2,0,Senior Citizen,Indore,Delhi,Coimbatore,0
14545.32,2991.58,4.862,5,2,1,1,0,0,0,0,0,1,11,93,0,87,8,Travel,Net Banking,0,0,0,8.0,0,3,1,Senior Citizen,Indore,Delhi,Delhi,0
3757.19,2991.58,1.256,10,2,0,1,0,0,0,2,0,1,17,85,1,92,13,Travel,Net Banking,0,0,0,5.0,0,4,0,Senior Citizen,Indore,Delhi,Kochi,0
11804.28,2991.58,3.946,21,2,1,1,0,0,0,0,0,1,11,98,1,95,24,Travel,Net Banking,0,0,0,10.0,0,3,0,Senior Citizen,Indore,Delhi,Delhi,0
2465.53,1657.89,1.487,23,6,0,1,0,1,0,0,0,1,13,90,0,84,2,E-commerce,Debit Card,0,0,0,2.0,0,0,0,Salaried,Pune,Pune,Lucknow,0
1250.65,1657.89,0.754,13,0,1,0,0,1,0,0,0,1,12,95,1,84,2,Groceries,Debit Card,0,0,0,11.0,0,1,0,Salaried,Pune,Pune,Pune,0
2379.91,1657.89,1.436,4,4,1,0,0,1,0,1,0,1,17,86,0,84,2,Food,Debit Card,0,1,0,13.0,0,0,0,Salaried,Pune,Pune,Pune,0
513.03,1657.89,0.309,5,5,1,0,0,1,0,0,0,1,30,86,1,88,19,Retail,Debit Card,0,0,0,10.0,0,0,0,Salaried,Pune,Pune,Pune,0
21030.24,1657.89,12.685,12,5,1,1,0,0,1,3,0,1,15,98,1,10,82,Crypto,UPI,1,0,1,7.0,0,1,1,Salaried,Pune,Ahmedabad,Ahmedabad,1
5883.09,1657.89,3.549,14,6,1,0,0,1,0,0,0,1,23,88,0,89,20,Groceries,Debit Card,0,0,1,14.0,0,0,0,Salaried,Pune,Pune,Pune,0
1415.08,1657.89,0.854,16,6,1,0,0,1,0,0,0,1,25,87,1,74,3,Travel,Debit Card,0,0,0,6.0,0,1,0,Salaried,Pune,Pune,Pune,0
631.0,1657.89,0.381,10,0,1,0,0,1,0,0,0,1,5,95,1,98,5,Travel,Debit Card,0,0,0,1.0,0,2,0,Salaried,Pune,Pune,Pune,0
948.66,1657.89,0.572,10,0,1,0,0,1,0,1,0,1,22,96,0,98,5,Travel,Debit Card,0,0,0,14.0,1,3,0,Salaried,Pune,Pune,Pune,0
1992.82,1657.89,1.202,11,0,1,0,0,1,0,0,0,1,17,94,0,89,20,Retail,Debit Card,0,0,0,11.0,2,4,0,Salaried,Pune,Pune,Pune,0
1013.58,1657.89,0.611,13,1,1,1,0,0,0,0,0,1,16,89,0,89,20,Food,Debit Card,0,0,1,3.0,0,0,0,Salaried,Pune,Jaipur,Jaipur,0
1156.98,1657.89,0.698,14,1,1,0,0,1,0,0,0,1,24,86,0,84,2,E-commerce,Debit Card,0,0,0,14.0,1,1,0,Salaried,Pune,Pune,Pune,0
603.05,1657.89,0.364,8,2,1,0,0,1,0,0,0,1,10,94,0,88,19,Electronics,Debit Card,0,0,0,8.0,0,2,0,Salaried,Pune,Pune,Pune,0
2366.86,1657.89,1.428,13,2,1,0,0,1,0,0,0,1,5,92,0,88,19,Groceries,Debit Card,0,0,0,4.0,0,3,0,Salaried,Pune,Pune,Pune,0
2279.47,1657.89,1.375,21,2,1,1,0,0,0,0,0,1,4,89,1,77,23,Retail,Debit Card,0,0,0,3.0,0,2,0,Salaried,Pune,Jaipur,Jaipur,0
11404.22,18034.34,0.632,0,0,1,0,0,1,0,0,0,1,17,94,0,97,17,Food,Net Banking,0,1,0,4.0,0,0,0,Business,Indore,Indore,Indore,0
18204.5,18034.34,1.009,1,0,1,1,0,0,0,0,0,1,20,86,1,70,19,E-commerce,Net Banking,0,1,0,12.0,0,1,0,Business,Indore,Chennai,Chennai,0
16391.32,18034.34,0.909,6,2,1,0,0,1,0,0,0,1,32,93,1,97,17,Food,Net Banking,0,0,0,14.0,0,0,0,Business,Indore,Indore,Indore,0
6770.69,18034.34,0.375,1,3,1,0,0,1,0,0,0,1,20,95,1,82,15,Food,Net Banking,0,1,0,11.0,0,1,0,Business,Indore,Indore,Indore,0
11788.28,18034.34,0.654,12,3,1,0,0,1,0,0,0,1,32,93,0,82,15,Groceries,Net Banking,0,0,0,14.0,0,1,0,Business,Indore,Indore,Indore,0
17746.39,18034.34,0.984,14,3,1,0,0,1,0,0,0,1,8,99,0,82,15,E-commerce,Net Banking,0,0,0,2.0,0,2,0,Business,Indore,Indore,Indore,0
5552.46,18034.34,0.308,15,3,1,1,1,0,1,5,0,0,21,14,1,87,18,E-commerce,Net Banking,0,0,1,2.0,1,3,0,Business,Indore,Chennai,Chennai,1
10583.9,18034.34,0.587,5,4,1,1,0,0,0,0,0,1,25,99,0,97,17,Food,Net Banking,0,0,0,12.0,0,3,0,Business,Indore,Chennai,Chennai,0
17113.66,18034.34,0.949,10,5,1,1,0,0,0,0,0,1,4,94,1,87,18,Retail,Net Banking,0,0,0,2.0,0,0,0,Business,Indore,Chennai,Chennai,0
14901.18,18034.34,0.826,11,6,1,1,0,0,0,1,0,1,11,100,0,97,17,E-commerce,Net Banking,0,0,0,2.0,0,0,0,Business,Indore,Chennai,Chennai,0
54005.99,18034.34,2.995,19,6,1,1,0,0,0,0,0,1,25,98,0,97,17,Electronics,Net Banking,0,0,1,5.0,0,1,0,Business,Indore,Delhi,Delhi,1
11566.92,18034.34,0.641,19,6,1,0,0,1,1,0,0,1,18,79,0,87,18,Remittance,Net Banking,1,0,1,10.0,1,2,0,Business,Indore,Indore,Indore,0
112897.85,18034.34,6.26,7,0,1,1,1,0,1,0,0,1,14,34,1,12,76,Food,NEFT,0,0,0,5.0,0,3,1,Business,Indore,Chennai,Chennai,1
16158.43,18034.34,0.896,13,0,1,0,0,1,0,0,0,1,12,85,1,78,5,Travel,Net Banking,0,0,1,8.0,0,3,0,Business,Indore,Indore,Indore,0
20559.53,18034.34,1.14,20,0,1,0,0,1,0,0,0,1,19,98,0,78,5,Retail,Net Banking,0,0,0,10.0,0,2,0,Business,Indore,Indore,Indore,0
23940.32,18034.34,1.327,23,0,0,1,0,0,0,0,0,1,15,97,0,97,17,Electronics,Net Banking,0,0,0,1.0,0,3,0,Business,Indore,Chennai,Ahmedabad,0
19874.34,18034.34,1.102,6,1,1,1,0,0,0,0,0,1,6,86,1,93,28,Food,Net Banking,0,0,0,1.0,0,4,0,Business,Indore,Chennai,Chennai,0
86660.86,18034.34,4.805,9,1,1,0,0,1,1,0,0,1,18,67,0,82,15,E-commerce,Net Banking,0,0,0,5.0,0,4,1,Business,Indore,Indore,Indore,0
31537.07,18034.34,1.749,17,1,1,0,1,1,1,1,0,1,27,54,1,78,27,Travel,Credit Card,0,0,0,9.0,0,4,0,Business,Indore,Indore,Indore,1
16241.75,18034.34,0.901,17,1,1,0,0,1,1,0,0,1,9,74,0,78,5,Food,Net Banking,0,0,0,3.0,1,5,0,Business,Indore,Indore,Indore,0
115403.8,18034.34,6.399,2,2,1,1,1,0,0,5,1,1,17,13,1,10,92,Groceries,UPI,0,1,1,6.0,0,4,1,Business,Indore,Kolkata,Kolkata,1
884.97,424.25,2.086,19,6,1,1,0,0,0,0,0,1,23,93,1,76,6,E-commerce,UPI,0,0,1,14.0,0,0,0,Student,Mumbai,Delhi,Delhi,1
183.65,424.25,0.433,20,6,1,0,0,1,0,0,0,1,24,100,1,74,27,Groceries,IMPS,0,0,1,5.0,1,1,0,Student,Mumbai,Mumbai,Mumbai,0
242.51,424.25,0.572,18,5,1,0,0,1,0,0,0,1,11,86,1,70,29,Retail,IMPS,0,0,0,2.0,0,0,0,Student,Mumbai,Mumbai,Mumbai,0
282.72,424.25,0.666,23,5,1,0,0,1,0,0,0,1,17,95,0,74,27,Travel,IMPS,0,0,0,1.0,0,1,0,Student,Mumbai,Mumbai,Mumbai,0
606.21,424.25,1.429,0,0,1,0,0,1,0,0,0,1,18,87,1,84,15,Groceries,IMPS,0,1,0,5.0,0,0,0,Student,Mumbai,Mumbai,Mumbai,0
426.73,424.25,1.006,1,0,1,0,0,1,0,0,0,1,11,85,0,76,6,Electronics,IMPS,0,1,0,2.0,1,1,0,Student,Mumbai,Mumbai,Mumbai,0
381.73,424.25,0.9,2,0,1,0,0,1,0,0,0,1,15,87,0,70,29,Groceries,IMPS,0,1,0,2.0,0,2,0,Student,Mumbai,Mumbai,Mumbai,0
2737.13,424.25,6.452,6,0,1,0,1,0,1,0,0,1,19,30,1,9,92,Food,UPI,0,0,0,14.0,0,3,1,Student,Mumbai,Mumbai,Mumbai,1
445.6,424.25,1.05,10,0,1,0,0,1,0,0,0,1,12,87,0,79,20,Travel,IMPS,0,0,0,5.0,0,4,0,Student,Mumbai,Mumbai,Mumbai,0
611.41,424.25,1.441,9,1,0,1,0,1,0,1,0,1,33,97,0,79,20,Food,IMPS,0,0,0,14.0,0,1,0,Student,Mumbai,Mumbai,Chandigarh,0
