log_id,transaction_id,customer_id,login_time,logout_time,event_type,login_location,previous_login_city,device_id,device_type,browser,operating_system,ip_address,vpn_used,failed_login_count,password_reset,otp_verified,session_duration_minutes,ip_reputation_score,login_method,biometric_used,country
LOG_8CE011140D82,TXN_3CB6189190CC,CUST_F77382D72C38,2026-06-17 06:29:02,2026-06-17 06:46:02,Transaction_Initiated,Mumbai,Mumbai,DEV_2B48B31D18CC,Desktop,Mobile App,Android,143.226.142.47,False,0,False,True,17,100,Password,False,India
LOG_C38F38C42859,TXN_1E4435565E74,CUST_ACBB55076F6F,2026-06-17 06:40:02,2026-06-17 06:48:02,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Edge,Android,113.18.232.23,False,0,False,True,8,87,Biometric,False,India
LOG_6D59BFE693BE,TXN_2746E75415F4,CUST_01D4765F0DCC,2026-06-17 07:17:02,2026-06-17 07:34:02,Transaction_Initiated,Kolkata,Kolkata,DEV_0A395E135848,Tablet,Firefox,iOS,88.207.0.78,False,0,False,True,17,98,Password,True,India
LOG_9B77754324C4,TXN_569B75B3B804,CUST_0BBCAD5EF2DA,2026-06-17 07:26:02,2026-06-17 07:45:02,Transaction_Initiated,Hyderabad,Hyderabad,DEV_25C360D612DE,Tablet,Edge,macOS,170.13.201.152,False,0,False,True,19,89,Biometric,False,India
LOG_111CE5C60601,TXN_61EECB854609,CUST_0D563A0F2D46,2026-06-17 08:11:02,2026-06-17 08:28:02,Transaction_Initiated,Indore,Indore,DEV_A8F373D263ED,Desktop,Mobile App,macOS,190.232.138.79,False,0,False,True,17,94,Password,True,India
LOG_C92528990B49,TXN_E42EA361B2E5,CUST_3AC0F315E32D,2026-06-17 08:45:02,2026-06-17 09:11:02,Transaction_Initiated,Lucknow,Lucknow,DEV_D31BC9C3F4BB,Smartphone,Mobile App,iOS,140.174.6.218,False,1,False,True,26,92,Password,False,India
LOG_CD081A94AC32,TXN_11B6EE67D62C,CUST_E762728AC2C4,2026-06-17 09:13:02,2026-06-17 09:29:02,Transaction_Initiated,Pune,Pune,DEV_9FDD3D33CB84,Tablet,Edge,iOS,214.86.43.73,False,0,False,True,16,87,Password,True,India
LOG_F6EF5D1AA498,TXN_69523B28FDE8,CUST_6E9FB0F33173,2026-06-17 09:35:02,2026-06-17 09:50:02,Transaction_Initiated,Lucknow,Lucknow,DEV_106545D10191,Laptop,Edge,iOS,158.192.203.242,False,0,False,True,15,96,Password,True,India
LOG_A7F727C60BF9,TXN_56144DDC2E1F,CUST_A62F2F92E34C,2026-06-17 09:36:02,2026-06-17 09:55:02,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_C87B9EB593FF,Laptop,Edge,Android,65.161.108.168,False,0,False,True,19,90,Password,True,India
LOG_29BB032EF22F,TXN_C51305C29D3B,CUST_8B279B4E00CF,2026-06-17 10:11:02,2026-06-17 10:24:02,Transaction_Initiated,Jaipur,Jaipur,DEV_4ABECF1E4484,Laptop,Safari,iOS,213.8.47.76,False,0,False,True,13,94,Biometric,True,India
LOG_1B42B70FE019,TXN_E87B07CB6832,CUST_C6FAC3E395B8,2026-06-17 10:53:02,2026-06-17 11:02:02,Transaction_Initiated,Chennai,Chennai,DEV_58968C7F38A6,Desktop,Edge,Windows,188.78.109.17,False,0,False,True,9,99,Password,True,India
LOG_080D71FEF497,TXN_E9A17D7492EB,CUST_F969633BDDB5,2026-06-17 11:22:02,2026-06-17 11:26:02,Transaction_Initiated,Delhi,Hyderabad,DEV_5C98ED6DFD33,Smartphone,Safari,macOS,189.71.240.115,False,1,False,True,4,88,Biometric,False,India
LOG_8B60109DE82D,TXN_0FB23C4EFCFF,CUST_8866C1FABF99,2026-06-17 11:20:02,2026-06-17 11:47:02,Transaction_Initiated,Delhi,Delhi,DEV_B106853133B0,Laptop,Mobile App,Android,226.101.78.96,False,0,False,True,27,87,Password,False,India
LOG_27228BF4D055,TXN_A362F436135C,CUST_0D563A0F2D46,2026-06-17 11:18:02,2026-06-17 11:38:02,Transaction_Initiated,Indore,Indore,DEV_A8F373D263ED,Desktop,Edge,macOS,190.232.138.79,False,0,False,True,20,89,Biometric,True,India
LOG_9F2DE873311A,TXN_EB316DDCEFFF,CUST_B385A110F05A,2026-06-17 11:24:02,2026-06-17 11:39:02,Transaction_Initiated,Chandigarh,Chandigarh,DEV_F9FDEF4D0CCF,Smartphone,Firefox,Windows,131.149.16.60,True,1,False,True,15,70,Password,False,India
LOG_B097E3A8785A,TXN_98A92088FD66,CUST_01D4765F0DCC,2026-06-17 12:00:02,2026-06-17 12:15:02,Transaction_Initiated,Kolkata,Kolkata,DEV_0A395E135848,Tablet,Edge,macOS,88.207.0.78,False,1,False,True,15,94,Password,False,India
LOG_557E4AD3E663,TXN_4ECCDF309CBF,CUST_2CEC9252A0A1,2026-06-17 12:22:02,2026-06-17 12:40:02,Transaction_Initiated,Gurgaon,Ahmedabad,DEV_75906C286F3B,Laptop,Edge,Android,25.38.207.94,False,0,False,True,18,89,Biometric,False,India
LOG_48CAA2E53EF1,TXN_C0CD254DB054,CUST_73B41940F312,2026-06-17 12:49:02,2026-06-17 12:55:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_7FFAD3F7A67D,Desktop,Safari,macOS,141.59.197.231,True,2,False,True,6,93,PIN,False,India
LOG_FD5D78E302BE,TXN_8153A7A8BBAA,CUST_686953EEE179,2026-06-17 13:29:02,2026-06-17 13:53:02,Transaction_Initiated,Chennai,Chennai,DEV_DDB5C9880543,Desktop,Mobile App,Windows,175.204.169.241,False,0,False,True,24,89,Password,True,India
LOG_794AB247CE55,TXN_5684E37B046C,CUST_71749AF6CF43,2026-06-17 14:06:02,2026-06-17 14:34:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_B578A4DC41FE,Desktop,Safari,iOS,67.70.252.24,False,0,False,True,28,96,Password,True,India
LOG_BF5B2F3A2BA1,TXN_BA86EB01613E,CUST_8866C1FABF99,2026-06-17 15:00:02,2026-06-17 15:12:02,Transaction_Initiated,Delhi,Delhi,DEV_B106853133B0,Laptop,Mobile App,iOS,226.101.78.96,False,0,False,True,12,93,Password,True,India
LOG_C40EF58938B6,TXN_EF65F114D9E8,CUST_E11D4A73CB51,2026-06-17 15:11:02,2026-06-17 15:30:02,Transaction_Initiated,Bengaluru,Bengaluru,DEV_E0A9B5B38FBF,Smartphone,Firefox,macOS,203.251.52.224,False,0,False,True,19,98,Password,False,India
LOG_81D0466497FD,TXN_184E0A5D1579,CUST_1A4574854941,2026-06-17 15:25:02,2026-06-17 15:46:02,Transaction_Initiated,Kochi,Chandigarh,DEV_2067541C189D,Tablet,Mobile App,Windows,92.123.238.32,False,3,True,True,21,13,Password,True,India
LOG_6D6519A4FCE8,TXN_08E027994A9E,CUST_0BBCAD5EF2DA,2026-06-17 16:01:02,2026-06-17 16:28:02,Transaction_Initiated,Hyderabad,Hyderabad,DEV_25C360D612DE,Tablet,Firefox,Android,170.13.201.152,False,0,False,True,27,100,Biometric,False,India
LOG_69806B7CBCCE,TXN_AAF8FC578974,CUST_99B31E34B435,2026-06-17 16:08:02,2026-06-17 16:32:02,Transaction_Initiated,Kolkata,Kolkata,DEV_D0AA3FFE8F05,Laptop,Mobile App,Windows,236.125.189.73,False,0,False,True,24,88,Biometric,True,India
LOG_38D521F3447C,TXN_F46F5359D68D,CUST_0BBCAD5EF2DA,2026-06-17 15:52:10,2026-06-17 16:12:10,Transaction_Initiated,Hyderabad,Hyderabad,DEV_EACCC9B6F890,Tablet,Chrome,Windows,170.13.201.152,False,0,False,True,20,90,Password,True,India
LOG_DB68CB5E361E,TXN_E2DDF3CE287E,CUST_41D9016C2179,2026-06-17 16:19:10,2026-06-17 16:42:10,Transaction_Initiated,Delhi,Delhi,DEV_95CB68AC406A,Desktop,Safari,iOS,130.223.137.83,False,0,False,True,23,100,Password,True,India
LOG_6A24F16FD14C,TXN_65ED1BF277D1,CUST_166BFE400FBB,2026-06-17 16:34:10,2026-06-17 16:59:10,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_7CEB6DD46516,Desktop,Edge,Windows,34.194.49.92,False,0,False,True,25,91,PIN,False,India
LOG_1F489EE307A1,TXN_0BA176AF09A7,CUST_166838FFAEA4,2026-06-17 17:26:10,2026-06-17 17:50:10,Transaction_Initiated,Bengaluru,Bengaluru,DEV_07229593BF32,Smartphone,Firefox,Android,175.135.247.50,False,0,False,True,24,100,Password,False,India
LOG_505FA4E40AD9,TXN_D6334FD30C05,CUST_01D4765F0DCC,2026-06-17 18:24:10,2026-06-17 18:57:10,Transaction_Initiated,Kolkata,Kolkata,DEV_0A395E135848,Tablet,Firefox,iOS,88.207.0.78,False,0,False,True,33,91,Password,True,India
LOG_8C058C033370,TXN_180EF25AB794,CUST_6D76C861D951,2026-06-17 18:50:10,2026-06-17 19:06:10,Transaction_Initiated,Delhi,Delhi,DEV_E628135E164D,Desktop,Firefox,Android,190.36.87.137,False,0,False,True,16,100,PIN,True,India
LOG_D3AE348B49BD,TXN_43798D0EE687,CUST_3AC0F315E32D,2026-06-17 19:23:10,2026-06-17 19:47:10,Transaction_Initiated,Lucknow,Lucknow,DEV_D31BC9C3F4BB,Smartphone,Chrome,Android,140.174.6.218,False,0,False,True,24,100,Password,True,India
LOG_C9D928F3BE03,TXN_4BED5112D2F4,CUST_CD50341CE378,2026-06-17 20:24:10,2026-06-17 20:47:10,Transaction_Initiated,Gurgaon,Gurgaon,DEV_F473492F14C4,Desktop,Mobile App,iOS,20.240.113.52,False,0,False,True,23,93,Password,False,India
LOG_3F18B6864CEE,TXN_9295EAEFFB86,CUST_01C02537A5CA,2026-06-17 21:19:10,2026-06-17 21:34:10,Transaction_Initiated,Kochi,Kochi,DEV_6424112E6270,Smartphone,Firefox,iOS,207.37.233.107,True,0,False,True,15,95,Password,False,India
LOG_53AF60AF41CA,TXN_46FB9E5F39A8,CUST_8866C1FABF99,2026-06-17 22:05:10,2026-06-17 22:18:10,Transaction_Initiated,Delhi,Delhi,DEV_B106853133B0,Laptop,Mobile App,macOS,226.101.78.96,False,0,False,True,13,91,Password,False,India
LOG_28E981448F8B,TXN_D87579EAE3F8,CUST_3AC0F315E32D,2026-06-17 22:19:10,2026-06-17 22:35:10,Transaction_Initiated,Lucknow,Lucknow,DEV_D31BC9C3F4BB,Smartphone,Safari,macOS,140.174.6.218,False,1,False,True,16,87,Password,True,India
LOG_8DEAA6EE74BA,TXN_660445B1AA42,CUST_1A4574854941,2026-06-17 22:51:10,2026-06-17 23:10:10,Transaction_Initiated,Chandigarh,Kochi,DEV_E04C2B2CF175,Tablet,Safari,iOS,203.126.141.197,False,0,False,False,19,87,Biometric,False,India
LOG_CE6467E0031C,TXN_03962C1FF08B,CUST_24ED2A165FC1,2026-06-17 23:19:10,2026-06-17 23:21:10,Transaction_Initiated,Mumbai,Mumbai,DEV_3315934EF650,Tablet,Firefox,macOS,180.63.153.130,False,0,False,True,2,89,Biometric,False,India
LOG_07ABCC2BB243,TXN_F35987B831AF,CUST_24ED2A165FC1,2026-06-17 23:54:10,2026-06-18 00:10:10,Transaction_Initiated,Mumbai,Mumbai,DEV_3315934EF650,Tablet,Mobile App,Android,180.63.153.130,False,0,False,True,16,92,Password,True,India
LOG_12BFE0DC17FB,TXN_D9334691C6C0,CUST_2CEC9252A0A1,2026-06-18 00:10:10,2026-06-18 00:38:10,Transaction_Initiated,Gurgaon,Gurgaon,DEV_75906C286F3B,Laptop,Safari,macOS,139.148.119.209,False,0,False,True,28,92,Password,True,India
LOG_EC350B496FD3,TXN_D71D61AACFA1,CUST_41D9016C2179,2026-06-18 00:54:10,2026-06-18 01:15:10,Transaction_Initiated,Delhi,Delhi,DEV_95CB68AC406A,Desktop,Edge,iOS,130.223.137.83,False,1,False,True,21,98,Biometric,False,India
LOG_E463862620DB,TXN_49AEDC281116,CUST_B385A110F05A,2026-06-18 01:38:10,2026-06-18 01:59:10,Transaction_Initiated,Chandigarh,Chandigarh,DEV_F9FDEF4D0CCF,Smartphone,Chrome,Windows,131.149.16.60,False,0,False,True,21,99,Password,True,India
LOG_B843285B77A0,TXN_1C5EA721300B,CUST_A62F2F92E34C,2026-06-18 02:33:10,2026-06-18 02:56:10,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_C87B9EB593FF,Laptop,Mobile App,iOS,65.161.108.168,False,0,False,True,23,88,Password,True,India
LOG_71D3617CEA40,TXN_8EFD2C7C1D1C,CUST_3D000F3782B4,2026-06-18 03:20:10,2026-06-18 03:29:10,Transaction_Initiated,Gurgaon,Gurgaon,DEV_0249210CF674,Smartphone,Chrome,Windows,169.79.121.222,False,0,False,True,9,96,Password,False,India
LOG_F840D1E50026,TXN_5F38742EE7FE,CUST_55C717731AA3,2026-06-18 03:40:10,2026-06-18 04:01:10,Transaction_Initiated,Chennai,Chennai,DEV_158241CAB578,Desktop,Edge,iOS,68.32.173.6,False,0,False,True,21,90,PIN,True,India
LOG_1F443B5CDF25,TXN_30104FB28A50,CUST_81E6D90C4760,2026-06-18 04:08:10,2026-06-18 04:31:10,Transaction_Initiated,Coimbatore,Coimbatore,DEV_26EC14DF4598,Desktop,Chrome,Windows,60.35.23.170,True,0,False,True,23,86,Password,False,India
LOG_BB6B81DCF492,TXN_6681C4617A61,CUST_0BBCAD5EF2DA,2026-06-18 04:11:10,2026-06-18 04:38:10,Transaction_Initiated,Hyderabad,Hyderabad,DEV_25C360D612DE,Tablet,Safari,iOS,170.13.201.152,False,0,False,True,27,93,Password,True,India
LOG_24E4225AB9D4,TXN_52ED740762DC,CUST_770111A024A1,2026-06-18 04:50:10,2026-06-18 05:03:10,Transaction_Initiated,Lucknow,Delhi,DEV_3AA521D123AF,Tablet,Firefox,Android,240.21.117.55,True,5,True,True,13,28,PIN,True,India
LOG_D38498EA66EA,TXN_CFB4C85925A7,CUST_B385A110F05A,2026-06-18 05:49:10,2026-06-18 05:54:10,Transaction_Initiated,Chandigarh,Chandigarh,DEV_F9FDEF4D0CCF,Smartphone,Edge,iOS,131.149.16.60,False,0,False,True,5,87,Biometric,False,India
LOG_0F7895EFCECB,TXN_2CFCAAA5D604,CUST_ACBB55076F6F,2026-06-18 06:22:10,2026-06-18 06:32:10,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Mobile App,Windows,113.18.232.23,False,0,False,True,10,98,Biometric,True,India
LOG_37911140841D,TXN_620E2185CD63,CUST_DF7E3A9C08AE,2026-06-18 06:26:10,2026-06-18 06:49:10,Transaction_Initiated,Kochi,Kochi,DEV_AF1B17DECE8C,Desktop,Chrome,Android,40.54.79.70,False,0,False,True,23,90,Password,True,India
LOG_8B0F1871AA11,TXN_BF3BF26A375E,CUST_AA9EDE3072FA,2026-06-18 07:09:10,2026-06-18 07:30:10,Transaction_Initiated,Chennai,Chennai,DEV_C19C611ADC3B,Smartphone,Safari,Android,101.132.174.72,False,0,False,True,21,97,Password,False,India
LOG_6A5148F44CE4,TXN_0B00AE51A415,CUST_3004622EBCCF,2026-05-17 19:22:02,2026-05-17 19:53:02,Transaction_Initiated,Delhi,Indore,DEV_7B324B46832C,Laptop,Firefox,Windows,123.171.220.209,False,0,False,True,31,97,Biometric,True,India
LOG_0885DFE59577,TXN_93C34AE0A29C,CUST_3D000F3782B4,2026-05-17 19:54:02,2026-05-17 20:22:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_0249210CF674,Smartphone,Safari,Android,169.79.121.222,False,0,False,True,28,96,PIN,False,India
LOG_858C9A0558C4,TXN_4D72864A5DB3,CUST_6380C85B577F,2026-05-17 20:42:02,2026-05-17 21:09:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_814BCBBF01D2,Tablet,Edge,macOS,78.232.146.109,False,0,False,True,27,97,Password,False,India
LOG_6812F3F2370E,TXN_F3066AB4A9F4,CUST_166838FFAEA4,2026-05-17 21:26:02,2026-05-17 21:52:02,Transaction_Initiated,Bengaluru,Bengaluru,DEV_07229593BF32,Smartphone,Mobile App,iOS,181.181.85.166,False,0,False,True,26,98,Password,False,India
LOG_975933CA1415,TXN_0F4AA2E0F604,CUST_ACBB55076F6F,2026-05-17 21:57:02,2026-05-17 22:17:02,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Edge,Android,113.18.232.23,False,1,False,True,20,95,Password,False,India
LOG_0E117A4DCC4E,TXN_89C58C435F5F,CUST_A62F2F92E34C,2026-05-17 22:18:02,2026-05-17 22:34:02,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_C87B9EB593FF,Laptop,Edge,iOS,65.161.108.168,False,0,False,True,16,90,Password,False,India
LOG_D765B84CBAB1,TXN_CD91C888A3B0,CUST_166BFE400FBB,2026-05-17 22:50:02,2026-05-17 23:01:02,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_7CEB6DD46516,Desktop,Edge,Windows,34.194.49.92,False,0,False,True,11,90,Password,False,India
LOG_004D28B20642,TXN_146546F842D2,CUST_8866C1FABF99,2026-05-17 23:23:02,2026-05-17 23:44:02,Transaction_Initiated,Delhi,Delhi,DEV_B106853133B0,Laptop,Mobile App,iOS,226.101.78.96,False,0,False,True,21,90,Password,False,India
LOG_DBA1F943D858,TXN_83E5AE9571F0,CUST_9DDA4B54CA2A,2026-05-17 23:33:02,2026-05-17 23:59:02,Transaction_Initiated,Kolkata,Kolkata,DEV_E5B19D1B9B13,Smartphone,Edge,macOS,87.199.214.138,False,0,False,True,26,100,Biometric,False,India
LOG_6D3DC9204354,TXN_D599279DCA00,CUST_2CEC9252A0A1,2026-05-18 00:19:02,2026-05-18 00:40:02,Transaction_Initiated,Gurgaon,Gurgaon,DEV_75906C286F3B,Laptop,Mobile App,Android,85.16.140.58,False,0,False,True,21,88,Biometric,False,India
LOG_4C56884212F1,TXN_AEC3E591C543,CUST_6380C85B577F,2026-05-17 20:42:52,2026-05-17 21:02:52,Transaction_Initiated,Gurgaon,Gurgaon,DEV_564E1D786E61,Tablet,Mobile App,Windows,78.232.146.109,False,0,False,True,20,96,Password,True,India
LOG_149234B192CB,TXN_0B82BBC31799,CUST_B385A110F05A,2026-05-17 20:50:52,2026-05-17 21:09:52,Transaction_Initiated,Chandigarh,Chandigarh,DEV_F9FDEF4D0CCF,Smartphone,Safari,iOS,131.149.16.60,False,0,False,True,19,93,Biometric,True,India
LOG_26F0D058C4C0,TXN_8782835384E3,CUST_A274A25A299E,2026-05-17 21:43:52,2026-05-17 21:54:52,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_AED579B3AD9F,Tablet,Chrome,macOS,158.27.77.39,False,0,False,True,11,96,Biometric,False,India
LOG_F4F09A1C664A,TXN_E13992FF8309,CUST_A62F2F92E34C,2026-05-17 22:47:52,2026-05-17 22:52:52,Transaction_Initiated,Ahmedabad,Ahmedabad,DEV_C87B9EB593FF,Laptop,Edge,Android,65.161.108.168,False,0,False,True,5,95,Password,True,India
LOG_7A5445CE6840,TXN_C072D1BB965F,CUST_1A4574854941,2026-05-17 23:04:52,2026-05-17 23:25:52,Transaction_Initiated,Pune,Chandigarh,DEV_E04C2B2CF175,Tablet,Edge,Android,234.140.47.168,False,0,False,True,21,97,Biometric,True,India
LOG_134CDCD91CEB,TXN_28A5004D1C82,CUST_C6FAC3E395B8,2026-05-17 23:29:52,2026-05-17 23:35:52,Transaction_Initiated,Chennai,Chennai,DEV_58968C7F38A6,Desktop,Firefox,Windows,188.78.109.17,False,0,False,True,6,87,Biometric,True,India
LOG_AEC51C589479,TXN_C3614C71F974,CUST_ACBB55076F6F,2026-05-17 23:48:52,2026-05-18 00:03:52,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Chrome,Android,113.18.232.23,False,0,False,True,15,89,Password,True,India
LOG_EEF0684030C0,TXN_D9251806A4EA,CUST_15C44D3CE34B,2026-05-18 00:30:52,2026-05-18 00:47:52,Transaction_Initiated,Indore,Indore,DEV_0884DDC56CF0,Laptop,Firefox,Android,243.136.72.19,False,0,False,True,17,94,Biometric,True,India
LOG_4C5D955E250E,TXN_E5020568F493,CUST_24ED2A165FC1,2026-05-18 01:05:52,2026-05-18 01:25:52,Transaction_Initiated,Mumbai,Mumbai,DEV_3315934EF650,Tablet,Chrome,Android,180.63.153.130,False,1,False,True,20,100,Password,True,India
LOG_677B5A973DE0,TXN_71BDD5413283,CUST_6D76C861D951,2026-05-18 01:53:52,2026-05-18 02:11:52,Transaction_Initiated,Delhi,Delhi,DEV_E628135E164D,Desktop,Mobile App,Windows,190.36.87.137,False,0,False,True,18,93,Password,True,India
LOG_6F9700D446D5,TXN_6A3B190FD114,CUST_9F5234269242,2026-05-18 02:23:52,2026-05-18 02:42:52,Transaction_Initiated,Hyderabad,Hyderabad,DEV_D71BAB5B0773,Tablet,Firefox,Windows,120.156.30.157,False,0,False,True,19,85,Password,True,India
LOG_4603C7E83771,TXN_A0273112033C,CUST_ACBB55076F6F,2026-05-18 03:08:52,2026-05-18 03:20:52,Transaction_Initiated,Delhi,Delhi,DEV_386F7EB367DA,Desktop,Firefox,Android,113.18.232.23,False,0,False,True,12,86,Biometric,True,India
LOG_B50E4037537F,TXN_BA59ABF3B9DE,CUST_DE62BFF776A6,2026-05-18 03:18:52,2026-05-18 03:31:52,Transaction_Initiated,Coimbatore,Coimbatore,DEV_569091095900,Tablet,Safari,Android,164.20.221.189,True,0,False,True,13,95,PIN,True,India
LOG_6F2D7F57C0AA,TXN_EB54C61C7E47,CUST_1A4574854941,2026-05-18 04:14:52,2026-05-18 04:44:52,Transaction_Initiated,Pune,Pune,DEV_E04C2B2CF175,Tablet,Safari,iOS,127.4.188.52,False,0,False,False,30,100,Password,False,India
LOG_F9A781006BD1,TXN_EA5074C5B81B,CUST_F969633BDDB5,2026-05-18 04:13:52,2026-05-18 04:45:52,Transaction_Initiated,Delhi,Delhi,DEV_5C98ED6DFD33,Smartphone,Edge,Windows,96.0.192.218,False,0,False,True,32,93,Password,True,India
